"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/01/2019","AQS","490050007","1","38.7","ug/m3 LC","109","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/02/2019","AQS","490050007","1","24.3","ug/m3 LC","77","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/03/2019","AQS","490050007","1","1.1","ug/m3 LC","5","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/04/2019","AQS","490050007","1","1","ug/m3 LC","4","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/05/2019","AQS","490050007","1","0.7","ug/m3 LC","3","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/06/2019","AQS","490050007","1","2.1","ug/m3 LC","9","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/07/2019","AQS","490050007","1","2.5","ug/m3 LC","10","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/08/2019","AQS","490050007","1","7.8","ug/m3 LC","33","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/09/2019","AQS","490050007","1","18.1","ug/m3 LC","64","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/10/2019","AQS","490050007","1","4.8","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/11/2019","AQS","490050007","1","2.7","ug/m3 LC","11","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/12/2019","AQS","490050007","1","9.6","ug/m3 LC","40","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/13/2019","AQS","490050007","1","6.1","ug/m3 LC","25","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/14/2019","AQS","490050007","1","2.7","ug/m3 LC","11","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/15/2019","AQS","490050007","1","1","ug/m3 LC","4","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/16/2019","AQS","490050007","1","1.4","ug/m3 LC","6","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/17/2019","AQS","490050007","1","4.6","ug/m3 LC","19","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/18/2019","AQS","490050007","1","4.7","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/19/2019","AQS","490050007","1","5.1","ug/m3 LC","21","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/23/2019","AQS","490050007","1","8.2","ug/m3 LC","34","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/24/2019","AQS","490050007","1","8.8","ug/m3 LC","37","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/25/2019","AQS","490050007","1","2.8","ug/m3 LC","12","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/26/2019","AQS","490050007","1","7.6","ug/m3 LC","32","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/27/2019","AQS","490050007","1","5.3","ug/m3 LC","22","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"02/28/2019","AQS","490050007","1","8.2","ug/m3 LC","34","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"03/01/2019","AQS","490050007","1","2.1","ug/m3 LC","9","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"03/02/2019","AQS","490050007","1","2.9","ug/m3 LC","12","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"03/03/2019","AQS","490050007","1","3.3","ug/m3 LC","14","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"03/04/2019","AQS","490050007","1","3.8","ug/m3 LC","16","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"03/05/2019","AQS","490050007","1","4.7","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"03/06/2019","AQS","490050007","1","6.5","ug/m3 LC","27","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"03/07/2019","AQS","490050007","1","1.1","ug/m3 LC","5","","1","100.0000","88101","PM2.5 - Local Conditions","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
